Genus,Species,Tmax,max_metric,Phylum,Class,Order,Family
Lophognathus,gilberti,41.8,ctmax,Chordata,Lepidosauria,Squamata,Agamidae
Moloch,horridus,42.5,ctmax,Chordata,Lepidosauria,Squamata,Agamidae
Nannoscincus,maccoyi,37,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Niveoscincus,metallicus,39.6,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Niveoscincus,ocellatus,40.1,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Notechis,scutatus,38,ctmax,Chordata,Lepidosauria,Squamata,Elapidae
Pseudemoia,entrecasteauxii,42.1,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Pseudemoia,spenceri,42.3,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Pseudonaja,textilis,42.4,ctmax,Chordata,Lepidosauria,Squamata,Elapidae
Rankinia,diemensis,44.8,ctmax,Chordata,Lepidosauria,Squamata,Agamidae
Saproscincus,mustelina,37.7,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Suta,flagellum,40,ctmax,Chordata,Lepidosauria,Squamata,Elapidae
Tiliqua,nigrolutea,42.5,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Varanus,varius,43.7,ctmax,Chordata,Lepidosauria,Squamata,Varanidae
Eulamprus,quoyii,39.8,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Eulamprus,tympanum,39,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Trachylepis,striata,44.5,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Chondrodactylus,angulifer,42.9,ctmax,Chordata,Lepidosauria,Squamata,Gekkonidae
Chondrodactylus,bibronii,42.7,ctmax,Chordata,Lepidosauria,Squamata,Gekkonidae
Meroles,suborbitalis,46,ctmax,Chordata,Lepidosauria,Squamata,Lacertidae
Pedioplanis,lineoocellata,45.6,ctmax,Chordata,Lepidosauria,Squamata,Lacertidae
Ptenopus,garrulus,43.4,ctmax,Chordata,Lepidosauria,Squamata,Gekkonidae
Thamnophis,ordinoides,38.9,ctmax,Chordata,Lepidosauria,Squamata,Colubridae
Thamnophis,sirtalis,38.9,ctmax,Chordata,Lepidosauria,Squamata,Colubridae
Anolis,cupreus,38.4,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Anolis,humilis,35.6,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Anolis,intermedius,38.4,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Anolis,lemurinus,37.3,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Anolis,limifrons,36.8,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Anolis,lionotus,36.7,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Anolis,tropidolepis,33.1,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Ameiva,festiva,43.7,ctmax,Chordata,Lepidosauria,Squamata,Teiidae
Anolis,carolinensis,41.7,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Cnemidophorus,tigris,45.1,ctmax,Chordata,Lepidosauria,Squamata,Teiidae
Lepidophyma,flavimaculatum,38,ctmax,Chordata,Lepidosauria,Squamata,Xantusiidae
Sceloporus,malachiticus,42.8,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Sceloporus,occidentalis,44.1,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Sceloporus,variabilis,43.1,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Podarcis,tiliguerta,42.7,ctmax,Chordata,Lepidosauria,Squamata,Lacertidae
Uta,stansburiana,43.7,ctmax,Chordata,Lepidosauria,Squamata,Iguanidae
Ctenophorus,cristatus,43,ctmax,Chordata,Lepidosauria,Squamata,Agamidae
Ctenophorus,pictus,45,ctmax,Chordata,Lepidosauria,Squamata,Agamidae
Ctenophorus,reticulatus,46.5,ctmax,Chordata,Lepidosauria,Squamata,Agamidae
Cyclodomorphus,melanops,41.5,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Varanus,gouldii,43.5,ctmax,Chordata,Lepidosauria,Squamata,Varanidae
Acontias,meleagris,41,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Scelotes,gronovii,44.6,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Trachylepis,capensis,48,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Typhlacontias,brevipes,48,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Sphenomorphus,indicus,37.6,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Eremias,brenchleyi,43.6,ctmax,Chordata,Lepidosauria,Squamata,Lacertidae
Takydromus,septentrionalis,45,ctmax,Chordata,Lepidosauria,Squamata,Lacertidae
Plestiodon,gilberti,42.3,ctmax,Chordata,Lepidosauria,Squamata,Scincidae
Takydromus,sexlineatus,42.2,ctmax,Chordata,Lepidosauria,Squamata,Lacertidae
Teratoscincus,przewalskii,,,Chordata,Lepidosauria,Squamata,Sphaerodactylidae
Hoplodactylus,maculatus,,,Chordata,Lepidosauria,Squamata,Diplodactylidae
Oligosoma,maccanni,,,Chordata,Lepidosauria,Squamata,Scincidae
Liolaemus,altissimus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,chiliensis,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,fuscus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,lemniscatus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,leopardinus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,monticola,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,nigroviridis,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,nitidus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,schroederi,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,tenuis,,,Chordata,Lepidosauria,Squamata,Iguanidae
Gambelia,wislizenii,,,Chordata,Lepidosauria,Squamata,Iguanidae
Thamnophis,butleri,,,Chordata,Lepidosauria,Squamata,Colubridae
Thamnophis,marcianus,,,Chordata,Lepidosauria,Squamata,Colubridae
Thamnophis,melanogaster,,,Chordata,Lepidosauria,Squamata,Colubridae
Sceloporus,jarrovi,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,constanzae,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,fabiani,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,nigroroseus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,alticolor,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,bisignatus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,curis,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,cyanogaster,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,eleodori,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,fitzgeraldi,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,hellmichi,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,hernani,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,jamesi,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,lorenzmuelleri,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,nigromaculatus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,ornatus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,pictus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,platei,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,pseudolemniscatus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,punctatissimus,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,vallecurensis,,,Chordata,Lepidosauria,Squamata,Iguanidae
Liolaemus,walkeri,,,Chordata,Lepidosauria,Squamata,Iguanidae
Pseudechis,porphyriacus,,,Chordata,Lepidosauria,Squamata,Elapidae
Pseudonaja,nuchalis,,,Chordata,Lepidosauria,Squamata,Elapidae
Phyllospadix,scouleri,25,LT0,Streptophyta,Liliopsida,Alismatales,Zosteraceae
Dasyprocta,azarae,35,UTNZ,Chordata,Mammalia,Rodentia,Dasyproctidae
Dolichotis,salinicola,37,UTNZ,Chordata,Mammalia,Rodentia,Caviidae
Hydrochoerus,hydrochaeris,33,UTNZ,Chordata,Mammalia,Rodentia,Hydrochaeridae
Kerodon,rupestris,36,UTNZ,Chordata,Mammalia,Rodentia,Caviidae
Myoprocta,acouchy,30,UTNZ,Chordata,Mammalia,Rodentia,Dasyproctidae
Octodon,degus,35,UTNZ,Chordata,Mammalia,Rodentia,Octodontidae
Octodontomys,gliroides,35,UTNZ,Chordata,Mammalia,Rodentia,Ctenomyidae
Glossophaga,longirostris,37,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Cercartetus,nanus,35,UTNZ,Chordata,Mammalia,Diprotodontia,Burramyidae
Pteropus,scapulatus,35,UTNZ,Chordata,Mammalia,Chiroptera,Pteropodidae
Spermophilus,beecheyi,30,UTNZ,Chordata,Mammalia,Rodentia,Sciuridae
Macroderma,gigas,35,UTNZ,Chordata,Mammalia,Chiroptera,Megadermatidae
Miniopterus,schreibersii,37.5,UTNZ,Chordata,Mammalia,Chiroptera,Vespertilionidae
Rhinonicteris,aurantia,37.5,UTNZ,Chordata,Mammalia,Chiroptera,Rhinonycteridae
Microtus,longicaudus,30,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Microtus,californicus,40,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Cryptomys,bocagei,32.5,UTNZ,Chordata,Mammalia,Rodentia,Bathyergidae
Cryptomys,hottentotus,32,UTNZ,Chordata,Mammalia,Rodentia,Bathyergidae
Cryptomys,mechowi,30,UTNZ,Chordata,Mammalia,Rodentia,Bathyergidae
Melonycteris,melanops,33,UTNZ,Chordata,Mammalia,Chiroptera,Pteropodidae
Hipposideros,diadema,34,UTNZ,Chordata,Mammalia,Chiroptera,Hipposideridae
Abrothrix,andinus,34,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Abrothrix,longipilis,32,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Auliscomys,boliviensis,31,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Loxodontomys,micropus,33,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Phyllotis,darwini,34,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Thylamys,elegans,35,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Octodon,bridgesi,32.5,UTNZ,Chordata,Mammalia,Rodentia,Octodontidae
Octodon,lunatus,33,UTNZ,Chordata,Mammalia,Rodentia,Octodontidae
Thomomys,talpoides,32,UTNZ,Chordata,Mammalia,Rodentia,Geomyidae
Thomomys,umbrinus,35,UTNZ,Chordata,Mammalia,Rodentia,Geomyidae
Chaetodipus,intermedius,36,UTNZ,Chordata,Mammalia,Rodentia,Heteromyidae
Dipodomys,microps,32,UTNZ,Chordata,Mammalia,Rodentia,Heteromyidae
Napaeozapus,insignis,33.5,UTNZ,Chordata,Mammalia,Rodentia,Dipodidae
Peromyscus,maniculatus,37,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Gerbillus,pusillus,38,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Aethomys,namaquensis,34.49,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Gerbillurus,paeba,35.1,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Ctenomys,talarum,35,UTNZ,Chordata,Mammalia,Rodentia,Ctenomyidae
Neurotrichus,gibbsii,32,UTNZ,Chordata,Mammalia,Insectivora,Talpidae
Leptonycteris,yerbabuenae,38,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Dipodomys,agilis,36,UTNZ,Chordata,Mammalia,Rodentia,Heteromyidae
Nasua,nasua,33,UTNZ,Chordata,Mammalia,Carnivora,Procyonidae
Rattus,rattus,33,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Rattus,villosissimus,35,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Rattus,fuscipes,32.9,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Spalacopus,cyanus,34,UTNZ,Chordata,Mammalia,Rodentia,Octodontidae
Glossophaga,soricina,35.2,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Lasiurus,cinereus,34,UTNZ,Chordata,Mammalia,Chiroptera,Vespertilionidae
Akodon,azarae,32,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Lagorchestes,conspicillatus,35,UTNZ,Chordata,Mammalia,Diprotodontia,Macropodidae
Lepus,alleni,35,UTNZ,Chordata,Mammalia,Lagomorpha,Leporidae
Ammospermophilus,leucurus,34,UTNZ,Chordata,Mammalia,Rodentia,Sciuridae
Macropus,giganteus,35,UTNZ,Chordata,Mammalia,Diprotodontia,Macropodidae
Macropus,rufus,35,UTNZ,Chordata,Mammalia,Diprotodontia,Macropodidae
Blarina,brevicauda,31,UTNZ,Chordata,Mammalia,Insectivora,Soricidae
Myodes,gapperi,34,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Peromyscus,leucopus,34.5,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Phascolarctos,cinereus,26,UTNZ,Chordata,Mammalia,Diprotodontia,Phascolarctidae
Gerbillurus,setzeri,34.8,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Gerbillurus,tytonis,34.9,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Gerbillurus,vallinus,35,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Mystromys,albicaudatus,30,UTNZ,Chordata,Mammalia,Rodentia,Nesomyidae
Canis,mesomelas,27.5,UTNZ,Chordata,Mammalia,Carnivora,Canidae
Petaurus,breviceps,31,UTNZ,Chordata,Mammalia,Diprotodontia,Petauridae
Acrobates,pygmaeus,35.1,UTNZ,Chordata,Mammalia,Diprotodontia,Acrobatidae
Neomys,anomalus,30,UTNZ,Chordata,Mammalia,Insectivora,Soricidae
Neomys,fodiens,30,UTNZ,Chordata,Mammalia,Insectivora,Soricidae
Cercartetus,lepidus,33,UTNZ,Chordata,Mammalia,Diprotodontia,Burramyidae
Saccopteryx,bilineata,35,UTNZ,Chordata,Mammalia,Chiroptera,Emballonuridae
Natalus,tumidirostris,35,UTNZ,Chordata,Mammalia,Chiroptera,Natalidae
Canis,latrans,26,UTNZ,Chordata,Mammalia,Carnivora,Canidae
Vulpes,macrotis,33,UTNZ,Chordata,Mammalia,Carnivora,Canidae
Acomys,Russatus,37,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Otomys,irroratus,10,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Dipodillus,dasyurus,35,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Hystrix,africaeaustralis,27,UTNZ,Chordata,Mammalia,Rodentia,Hystricidae
Saccostomus,campestris,32,UTNZ,Chordata,Mammalia,Rodentia,Nesomyidae
Mus,macedonicus,33,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Genetta,tigrina,35,UTNZ,Chordata,Mammalia,Carnivora,Viverridae
Perodicticus,potto,29,UTNZ,Chordata,Mammalia,Primates,Lorisidae
Isthmomys,pirrensis,34,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Sylvilagus,audubonii,40,UTNZ,Chordata,Mammalia,Lagomorpha,Leporidae
Jaculus,deserti,35,UTNZ,Chordata,Mammalia,Rodentia,Dipodidae
Jaculus,orientalis,33,UTNZ,Chordata,Mammalia,Rodentia,Dipodidae
Potorous,tridactylus,32,UTNZ,Chordata,Mammalia,Diprotodontia,Potoroidae
Liomys,irroratus,34,UTNZ,Chordata,Mammalia,Rodentia,Heteromyidae
Liomys,salvini,34,UTNZ,Chordata,Mammalia,Rodentia,Heteromyidae
Galerella,sanguinea,37,UTNZ,Chordata,Mammalia,Carnivora,Herpestidae
Brachylagus,idahoensis,25.5,UTNZ,Chordata,Mammalia,Lagomorpha,Leporidae
Macrotis,lagotis,35,UTNZ,Chordata,Mammalia,Peramelemorphia,Peramelidae
Pseudocheirus,occidentalis,32.5,UTNZ,Chordata,Mammalia,Diprotodontia,Pseudocheiridae
Setonix,brachyurus,32.5,UTNZ,Chordata,Mammalia,Diprotodontia,Macropodidae
Spilogale,putorius,36,UTNZ,Chordata,Mammalia,Carnivora,Mephitidae
Erinaceus,concolor,31.5,UTNZ,Chordata,Mammalia,Insectivora,Erinaceidae
Ochrotomys,nuttalli,36,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Peromyscus,gossypinus,35.3,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Aotus,trivirgatus,30,UTNZ,Chordata,Mammalia,Primates,Aotidae
Elephantulus,edwardii,36,UTNZ,Chordata,Mammalia,Macroscelidea,Macroscelididae
Apodemus,agrarius,27.5,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Apodemus,speciosus,30,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Myodes,rufocanus,27.5,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Fukomys,damarensis,31,UTNZ,Chordata,Mammalia,Rodentia,Bathyergidae
Georychus,capensis,34,UTNZ,Chordata,Mammalia,Rodentia,Bathyergidae
Thallomys,paedulcus,35.89,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Myotis,keaysi,33.4,UTNZ,Chordata,Mammalia,Chiroptera,Vespertilionidae
Myotis,oxyotus,32.5,UTNZ,Chordata,Mammalia,Chiroptera,Vespertilionidae
Notomys,alexis,34,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Notomys,cervinus,34,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Pseudomys,hermannsburgensis,36,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Madoqua,kirkii,35,UTNZ,Chordata,Mammalia,Ruminantia,Bovidae
Dobsonia,praedatrix,33,UTNZ,Chordata,Mammalia,Chiroptera,Pteropodidae
Nyctimene,albiventer,34,UTNZ,Chordata,Mammalia,Chiroptera,Pteropodidae
Peromyscus,californicus,34.5,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Peromyscus,crinitus,35,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Peromyscus,eremicus,36.5,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Peromyscus,truei,33,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Tarsius,syrichta,35,UTNZ,Chordata,Mammalia,Primates,Tarsiidae
Geomys,pinetis,35,UTNZ,Chordata,Mammalia,Rodentia,Geomyidae
Heliophobius,argenteocinereus,33,UTNZ,Chordata,Mammalia,Rodentia,Bathyergidae
Heterocephalus,glaber,37,UTNZ,Chordata,Mammalia,Rodentia,Bathyergidae
Anoura,caudifer,35,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Artibeus,cinereus,34,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Artibeus,jamaicensis,35,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Artibeus,lituratus,36,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Carollia,perspicillata,35,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Chrotopterus,auritus,34,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Diaemus,youngi,30,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Diphylla,ecaudata,30,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Histiotus,velatus,31,UTNZ,Chordata,Mammalia,Chiroptera,Vespertilionidae
Molossus,molossus,36,UTNZ,Chordata,Mammalia,Chiroptera,Molossidae
Noctilio,albiventris,38,UTNZ,Chordata,Mammalia,Chiroptera,Noctilionidae
Noctilio,leporinus,38,UTNZ,Chordata,Mammalia,Chiroptera,Noctilionidae
Phyllostomus,discolor,37,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Phyllostomus,hastatus,35,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Rhinophylla,pumilio,35,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Tonatia,bidens,35,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Caluromys,derbianus,35,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Didelphis,virginiana,34,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Lutreolina,crassicaudata,35,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Marmosa,robinsoni,36,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Metachirus,nudicaudatus,36,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Philander,opossum,36,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Dipodomys,deserti,35,UTNZ,Chordata,Mammalia,Rodentia,Heteromyidae
Cannomys,badius,34.5,UTNZ,Chordata,Mammalia,Rodentia,Spalacidae
Scalopus,aquaticus,33,UTNZ,Chordata,Mammalia,Insectivora,Talpidae
Atelerix,albiventris,35,UTNZ,Chordata,Mammalia,Insectivora,Erinaceidae
Cabassous,centralis,32.5,UTNZ,Chordata,Mammalia,Cingulata,Dasypodidae
Chaetophractus,nationi,35,UTNZ,Chordata,Mammalia,Cingulata,Dasypodidae
Chaetophractus,vellerosus,35,UTNZ,Chordata,Mammalia,Cingulata,Dasypodidae
Chaetophractus,villosus,35,UTNZ,Chordata,Mammalia,Cingulata,Dasypodidae
Setifer,setosus,33,UTNZ,Chordata,Mammalia,Afrosoricida,Tenrecidae
Orycteropus,afer,35,UTNZ,Chordata,Mammalia,Tubulidentata,Orycteropodidae
Tachyglossus,aculeatus,31,UTNZ,Chordata,Mammalia,Monotremata,Tachyglossidae
Zaglossus,bruijni,33,UTNZ,Chordata,Mammalia,Monotremata,Tachyglossidae
Myrmecobius,fasciatus,30,UTNZ,Chordata,Mammalia,Dasyuromorphia,Myrmecobiidae
Ailurus,fulgens,36,UTNZ,Chordata,Mammalia,Carnivora,Ailuridae
Dendrolagus,matschiei,37,UTNZ,Chordata,Mammalia,Diprotodontia,Macropodidae
Cynopterus,brachyotis,37,UTNZ,Chordata,Mammalia,Chiroptera,Pteropodidae
Eonycteris,spelaea,32.5,UTNZ,Chordata,Mammalia,Chiroptera,Pteropodidae
Hipposideros,galeritus,32,UTNZ,Chordata,Mammalia,Chiroptera,Hipposideridae
Lemmiscus,curtatus,33,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
lemmus,sibiricus,32,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Microtus,pinetorum,35,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Microtus,richardsoni,33.5,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Myodes,californicus,33,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Neofiber,alleni,34,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Ondatra,zibethicus,30,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Arctictis,binturong,36,UTNZ,Chordata,Mammalia,Carnivora,Viverridae
Fossa,fossana,34,UTNZ,Chordata,Mammalia,Carnivora,Eupleridae
Nandinia,binotata,34,UTNZ,Chordata,Mammalia,Carnivora,Nandiniidae
Paradoxurus,hermaphroditus,36,UTNZ,Chordata,Mammalia,Carnivora,Viverridae
Leopardus,pardalis,33,UTNZ,Chordata,Mammalia,Carnivora,Felidae
Leopardus,wiedii,38,UTNZ,Chordata,Mammalia,Carnivora,Felidae
Phalanger,carmelitae,32.5,UTNZ,Chordata,Mammalia,Diprotodontia,Phalangeridae
Phalanger,gymnotis,33,UTNZ,Chordata,Mammalia,Diprotodontia,Phalangeridae
Phalanger,intercastellanus,30,UTNZ,Chordata,Mammalia,Diprotodontia,Phalangeridae
Phalanger,orientalis,32,UTNZ,Chordata,Mammalia,Diprotodontia,Phalangeridae
Phalanger,sericeus,30,UTNZ,Chordata,Mammalia,Diprotodontia,Phalangeridae
Capromys,pilorides,37,UTNZ,Chordata,Mammalia,Rodentia,Capromyidae
Coendou,prehensilis,34,UTNZ,Chordata,Mammalia,Rodentia,Erethizontidae
Sorex,cinereus,30,UTNZ,Chordata,Mammalia,Insectivora,Soricidae
Potos,flavus,30,UTNZ,Chordata,Mammalia,Carnivora,Procyonidae
Suricata,suricatta,33,UTNZ,Chordata,Mammalia,Carnivora,Herpestidae
Pedetes,capensis,33,UTNZ,Chordata,Mammalia,Rodentia,Pedetidae
Cercopithecus,mitis,25,UTNZ,Chordata,Mammalia,Primates,Cercopithecidae
Colobus,guereza,28,UTNZ,Chordata,Mammalia,Primates,Cercopithecidae
Megadontomys,thomasi,35,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Marmosa,lepida,35,UTNZ,Chordata,Mammalia,Didelphimorphia,Didelphidae
Vulpes,zerda,32,UTNZ,Chordata,Mammalia,Carnivora,Canidae
Myotis,thysanodes,34.5,UTNZ,Chordata,Mammalia,Chiroptera,Vespertilionidae
Microtus,montanus,31,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Reithrodontomys,megalotis,34.5,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Steatomys,pratensis,32,UTNZ,Chordata,Mammalia,Rodentia,Nesomyidae
Cynomys,ludovicianus,35,UTNZ,Chordata,Mammalia,Rodentia,Sciuridae
Gerbillus,pyramidum,31,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Monophyllus,redmani,35,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Pteronotus,quadridens,38,UTNZ,Chordata,Mammalia,Chiroptera,Mormoopidae
Bettongia,gaimardi,20,UTNZ,Chordata,Mammalia,Diprotodontia,Potoroidae
Macroscelides,proboscideus,38,UTNZ,Chordata,Mammalia,Macroscelidea,Macroscelididae
Procavia,capensis,35,UTNZ,Chordata,Mammalia,Hyracoidea,procaviidae
Aepyprymnus,rufescens,33,UTNZ,Chordata,Mammalia,Diprotodontia,Potoroidae
Petauroides,volans,25,UTNZ,Chordata,Mammalia,Diprotodontia,Pseudocheiridae
Paraechinus,aethiopicus ,34.2,UTNZ,Chordata,Mammalia,Insectivora,Erinaceidae
Cricetulus,barabensis,30,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Sminthopsis,macroura,34,UTNZ,Chordata,Mammalia,Dasyuromorphia,Dasyuridae
Anoura,latidens,36.2,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Sturnira,erythromos,32.5,UTNZ,Chordata,Mammalia,Chiroptera,Phyllostomidae
Tadarida,brasiliensis,32.7,UTNZ,Chordata,Mammalia,Chiroptera,Molossidae
Crocidura,russula,35,UTNZ,Chordata,Mammalia,Insectivora,Soricidae
Crocidura,suaveolens,35,UTNZ,Chordata,Mammalia,Insectivora,Soricidae
Saimiri,sciureus,35,UTNZ,Chordata,Mammalia,Primates,Cebidae
Myotis,lucifugus,39,UTNZ,Chordata,Mammalia,Chiroptera,Vespertilionidae
Kobus,ellipsiprymnus,37,UTNZ,Chordata,Mammalia,Ruminantia,Bovidae
Thomomys,bottae,30,UTNZ,Chordata,Mammalia,Rodentia,Geomyidae
Chaetodipus,hispidus,33.5,UTNZ,Chordata,Mammalia,Rodentia,Heteromyidae
Tamias,striatus,32,UTNZ,Chordata,Mammalia,Rodentia,Sciuridae
Meriones,unguiculatus,38,UTNZ,Chordata,Mammalia,Rodentia,Muridae
Onychomys,torridus,35,UTNZ,Chordata,Mammalia,Rodentia,Cricetidae
Tragulus,javanicus,29,UTNZ,Chordata,Mammalia,Ruminantia,Tragulidae
