"scientificName","Family","nativeStatus","plantOrigin"
"Abelia","Caprifoliaceae","L48(I)","alien"
"Abelia X grandiflora","Caprifoliaceae","L48(I)","alien"
"Abelmoschus","Malvaceae","L48(I)","alien"
"Abelmoschus esculentus","Malvaceae","L48(I)PR(I)VI(I)","alien"
"Abelmoschus manihot","Malvaceae","L48(I)","alien"
"Abelmoschus moschatus","Malvaceae","L48(I)HI(I)PR(I)","alien"
"Abies","Pinaceae","L48(I,N)CAN(N)SPM(N)","native"
"Abies alba","Pinaceae","L48(I)","alien"
"Abies amabilis","Pinaceae","L48(N)AK(N)CAN(N)","native"
"Abies balsamea","Pinaceae","L48(N)CAN(N)SPM(N)","native"
"Abies balsamea var. balsamea","Pinaceae","L48(N)CAN(N)SPM(N)","native"
"Abies balsamea var. phanerolepis","Pinaceae","L48(N)CAN(N)","native"
"Abies bracteata","Pinaceae","L48(N)","native"
"Abies concolor","Pinaceae","L48(N)","native"
"Abies firma","Pinaceae","L48(I)","alien"
"Abies fraseri","Pinaceae","L48(N)","native"
"Abies grandis","Pinaceae","L48(N)CAN(N)","native"
"Abies guatemalensis","Pinaceae",NA,NA
"Abies homolepis","Pinaceae","L48(I)","alien"
"Abies lasiocarpa","Pinaceae","L48(N)AK(N)CAN(N)","native"
"Abies lasiocarpa var. arizonica","Pinaceae","L48(N)","native"
"Abies lasiocarpa var. lasiocarpa","Pinaceae","L48(N)AK(N)CAN(N)","native"
"Abies lowiana","Pinaceae","L48(N)","native"
"Abies magnifica","Pinaceae","L48(N)","native"
"Abies magnifica var. magnifica","Pinaceae","L48(N)","native"
"Abies magnifica var. shastensis","Pinaceae","L48(N)","native"
"Abies procera","Pinaceae","L48(N)","native"
"Abies veitchii","Pinaceae",NA,NA
"Abietinella","Thuidiaceae","NA(N)","native"
"Abietinella abietina","Thuidiaceae","NA(N)","native"
"Abildgaardia","Cyperaceae","L48(N)","native"
"Abildgaardia ovata","Cyperaceae","L48(N)PR(N)VI(N)","native"
"Abroma","Sterculiaceae",NA,NA
"Abroma augustum","Sterculiaceae","L48(N)","native"
"Abronia","Nyctaginaceae","L48(N)CAN(N)","native"
"Abronia alpina","Nyctaginaceae","L48(N)","native"
"Abronia ameliae","Nyctaginaceae","L48(N)","native"
"Abronia ammophila","Nyctaginaceae","L48(N)","native"
"Abronia angustifolia","Nyctaginaceae","L48(N)","native"
"Abronia argillosa","Nyctaginaceae","L48(N)","native"
"Abronia bigelovii","Nyctaginaceae","L48(N)","native"
