userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Maple,Maple,Acer,Acer,Sapindaceae,28727,genus,,0,,
Trident maple,Trident maple,Acer buergerianum,Acer,Sapindaceae,837859,species,,0,,
Hedge maple,Hedge maple,Acer campestre,Acer,Sapindaceae,28739,species,,0,,
Florida maple,Florida maple,Acer floridanum,Acer,Sapindaceae,183691,species,,0,,
Amur maple,Amur maple,Acer ginnala,Acer,Sapindaceae,28741,species,,0,,
Chalk maple,Chalk maple,Acer leucoderme,Acer,Sapindaceae,28761,species,,0,,
Bigleaf maple,Bigleaf maple,Acer macrophyllum,Acer,Sapindaceae,28748,species,,0,,
Acer negundo,Acer negundo,Acer negundo,Acer,Sapindaceae,28749,species,,0,1,
Boxelder,Boxelder,Acer negundo,Acer,Sapindaceae,28749,species,,0,1,
Black maple,Black maple,Acer nigrum,Acer,Sapindaceae,182135,species,,0,,
Japanese maple,Japanese maple,Acer palmatum,Acer,Sapindaceae,182136,species,,0,,
Striped maple,Striped maple,Acer pensylvanicum,Acer,Sapindaceae,28754,species,,0,,
Norway maple,Norway maple,Acer platanoides,Acer,Sapindaceae,28755,species,,0,,
Red maple,Red maple,Acer rubrum,Acer,Sapindaceae,28728,species,,0,,
Silver maple,Silver maple,Acer saccharinum,Acer,Sapindaceae,28757,species,,0,,
Sugar maple,Sugar maple,Acer saccharum,Acer,Sapindaceae,28731,species,,0,,
Acer x freemanii,Acer x freemanii,Acer X freemanii,Acer,Sapindaceae,500949,species,,0,,
Horned maple,Horned maple,Acer diabolicum,Acer,Sapindaceae,837851,species,,0,,
Southern sugar maple,Southern sugar maple,Acer saccharum,Acer,Sapindaceae,28731,species,,0,,
Buckeye,Buckeye,Aesculus,Aesculus,Sapindaceae,28714,genus,,0,1,
Ohio buckeye,Ohio buckeye,Aesculus glabra,Aesculus,Sapindaceae,28718,species,,0,1,
Aesculus hippocastanum,Aesculus hippocastanum,Aesculus hippocastanum,Aesculus,Sapindaceae,28721,species,,0,1,
Aesculus parviflora,Aesculus parviflora,Aesculus parviflora,Aesculus,Sapindaceae,28722,species,,0,1,
Bottlebrush buckeye,Bottlebrush buckeye,Aesculus parviflora,Aesculus,Sapindaceae,28722,species,,0,1,
Red buckeye,Red buckeye,Aesculus pavia,Aesculus,Sapindaceae,28723,species,,0,1,
Yellow buckeye,Yellow buckeye,Aesculus flava,Aesculus,Sapindaceae,837871,species,,0,1,
Ailanthus,Ailanthus,Ailanthus,Ailanthus,Simaroubaceae,28826,genus,,0,1,
Alder,Alder,Alnus,Alnus,Betulaceae,19466,genus,,0,,
