"Group","Name","Rank","Taxon","nOfTaxon","nofCount"
"ant","Mt. Auburn Cemetery","subfamily","Formicinae",1,1
"ant","NC Botanical Garden","genus","Brachyponera",1,2
"ant","NC Botanical Garden","genus","Camponotus",6,22
"ant","NC Botanical Garden","genus","Crematogaster",1,8
"ant","NC Botanical Garden","genus","Formica",1,10
"ant","NC Botanical Garden","genus","Myrmentoma",1,12
"ant","NC Botanical Garden","genus","Prenolepis",1,5
"ant","NC Botanical Garden","subfamily","Formicinae",1,1
"ant","Over Easy Farm","genus","Camponotus",3,8
"ant","Over Easy Farm","genus","Myrmentoma",1,1
"ant","Over Easy Farm","subfamily","Formicinae",1,2
"ant","Piedmont Wildlife Center","genus","Camponotus",1,1
"ant","Piedmont Wildlife Center","genus","Crematogaster",1,2
"ant","Piedmont Wildlife Center","genus","Formica",1,3
"ant","Piedmont Wildlife Center","genus","Monomorium",1,4
"ant","Piedmont Wildlife Center","genus","Myrmentoma",1,3
"ant","Prairie Ridge Ecostation","genus","Brachyponera",1,2
"ant","Prairie Ridge Ecostation","genus","Camponotus",5,37
"ant","Prairie Ridge Ecostation","genus","Colobopsis",1,2
"ant","Prairie Ridge Ecostation","genus","Crematogaster",1,13
"ant","Prairie Ridge Ecostation","genus","Formica",4,19
"ant","Prairie Ridge Ecostation","genus","Monomorium",3,7
"ant","Prairie Ridge Ecostation","genus","Myrmentoma",1,23
"ant","Prairie Ridge Ecostation","genus","Pseudomyrmex",3,6
"ant","Prairie Ridge Ecostation","genus","Tapinoma",1,1
"ant","Prairie Ridge Ecostation","subfamily","Formicinae",1,1
"ant","Prairie Ridge Ecostation","subfamily","Ponerinae",1,1
"ant","Prairie Ridge Ecostation","subfamily","Pseudomyrmecinae",1,1
"ant","RAUNERIMD","genus","Camponotus",4,4
"ant","RAUNERIMD","genus","Crematogaster",1,4
"ant","RAUNERIMD","genus","Myrmentoma",1,4
"ant","RAUNERIMD","genus","Temnothorax",1,1
"ant","RVCC","genus","Crematogaster",1,5
"ant","Riverbend Park","genus","Camponotus",2,2
"ant","Riverbend Park","genus","Crematogaster",1,1
"ant","Riverbend Park","subfamily","Formicinae",1,1
"ant","Sedgwick County Zoo","genus","Crematogaster",1,2
"ant","Sedgwick County Zoo","genus","Myrmica",1,1
"ant","Sedgwick County Zoo","genus","Prenolepis",1,1
"ant","Somerville Street Trees","genus","Camponotus",1,1
"ant","Somerville Street Trees","genus","Tapinoma",1,1
"ant","Taghkanic","genus","Tapinoma",1,1
"ant","Taylor Creek Park","genus","Myrmica",2,8
"ant","Taylor Creek Park","genus","Prenolepis",1,1
"ant","The PoHo","genus","Formica",1,1
"ant","Triangle Land Conservancy - Johnston Mill Nature Preserve","genus","Camponotus",1,5
"ant","Triangle Land Conservancy - Johnston Mill Nature Preserve","genus","Myrmentoma",1,2
"ant","Triangle Land Conservancy - Johnston Mill Nature Preserve","genus","Prenolepis",1,1
"ant","UNC Chapel Hill Campus","genus","Brachymyrmex",1,1
"ant","UNC Chapel Hill Campus","genus","Camponotus",5,6
"ant","UNC Chapel Hill Campus","genus","Colobopsis",1,1
"ant","UNC Chapel Hill Campus","genus","Crematogaster",1,16
"ant","UNC Chapel Hill Campus","genus","Formica",1,14
"ant","UNC Chapel Hill Campus","genus","Lasius",1,1
"ant","UNC Chapel Hill Campus","genus","Linepithema",1,2
"ant","UNC Chapel Hill Campus","genus","Monomorium",2,3
"ant","UNC Chapel Hill Campus","genus","Myrmentoma",1,3
"ant","UNC Chapel Hill Campus","genus","Tapinoma",1,3
"ant","Walker Nature Center","genus","Camponotus",3,6
"ant","Walker Nature Center","genus","Formica",1,2
"ant","Walker Nature Center","genus","Myrmentoma",1,1
"ant","Walker Nature Center","genus","Prenolepis",1,2
"ant","Walker Nature Center","genus","Tapinoma",1,1
"ant","Walker Nature Center","genus","Temnothorax",1,1
"ant","Wellesley College","genus","Temnothorax",1,1
"beetle","ASRI Claire McIntosh","genus","Exomala",1,1
"beetle","ASRI Claire McIntosh","genus","Harmonia",1,1
"beetle","ASRI Claire McIntosh","genus","Polydrusus",1,1
"beetle","ASRI Claire McIntosh","genus","Pseudoedophrys",1,1
"beetle","ASRI Claire McIntosh","genus","Psyllobora",1,1
"beetle","ASRI Fort","genus","Photinus",1,1
"beetle","ASRI Fort","genus","Podabrus",1,1
"beetle","ASRI Fort","subfamily","Cantharinae",1,2
"beetle","ASRI Powder Mill","genus","Cupes",1,1
"beetle","ASRI Powder Mill","genus","Cyrtepistomus",1,1
"beetle","ASRI Powder Mill","genus","Photinus",1,1
"beetle","ASRI Powder Mill","genus","Photuris",1,1
"beetle","BHRC - Hemlock Draw","genus","Cycloneda",1,1
"beetle","BHRC - Hemlock Draw","genus","Cyrtepistomus",1,1
"beetle","BHRC - Hemlock Draw","genus","Harmonia",1,5
"beetle","BHRC - Hemlock Draw","genus","Photinus",1,1
"beetle","BHRC - Hemlock Draw","genus","Phyllobius",1,1
"beetle","BHRC - Hemlock Draw","genus","Propylea",1,1
"beetle","BHRC - Hemlock Draw","genus","Pyropyga",1,1
"beetle","BHRC - Pan Hollow","genus","Phyllobius",1,1
"beetle","BHRC - Pan Hollow","genus","Polydrusus",1,1
"beetle","BHRC - Pan Hollow","genus","Strangalepta",1,1
"beetle","BHRC Green Forest","genus","Harmonia",1,5
"beetle","BHRC Green Forest","genus","Neopyrochroa",1,1
"beetle","BHRC Green Forest","genus","Podabrus",1,1
"beetle","BHRC Green Forest","genus","Polydrusus",1,8
"beetle","BHRC Green Forest","genus","Typocerus",1,1
"beetle","BHRC Green Forest","subfamily","Entiminae",1,1
"beetle","BHRC Happy Hill","genus","Dendroides",1,1
"beetle","BHRC Happy Hill","genus","Harmonia",1,1
"beetle","BHRC Happy Hill","genus","Photinus",1,1
"beetle","BHRC Happy Hill","genus","Rhagonycha",1,1
"beetle","BHRC Hemlock Draw North","genus","Analeptura",1,1
"beetle","BHRC Hemlock Draw North","genus","Cyrtepistomus",1,1
"beetle","BHRC Hemlock Draw North","genus","Harmonia",1,4
"beetle","BHRC Hemlock Draw North","genus","Myrmex",1,1
"beetle","BHRC Hemlock Draw North","genus","Podabrus",1,1
"beetle","BHRC Hemlock Draw North","genus","Polydrusus",1,1
