"","Name","Region","Longitude","Latitude","dev","forest"
"1","Great Smoky Mountains Institute at Tremont","TN",-83.688772827533,35.639979235465,4.96905899047852,95.0309448242188
"2","CawCaw Interpretive Center","SC",-80.193097095849,32.782252065427,7.36037588119507,25.3318424224854
"3","NC State University","NC",-78.67546810402,35.781071715192,96.0378723144531,2.98254013061523
"4","UNC Chapel Hill Campus","NC",-79.049644020807,35.909876654033,88.6015701293945,10.6403379440308
"5","Hemlock Bluffs","NC",-78.779309191044,35.724098087769,65.9647903442383,22.7966957092285
"6","Georgetown","DC",-77.07900566587,38.909602349623,69.9986877441406,25.6300621032715
"7","NC Botanical Garden","NC",-79.0339,35.8994,44.0857429504395,53.4590072631836
"8","Mt. Auburn Cemetery","MA",-71.14532216979,42.37140748221,91.0208587646484,1.10068738460541
"9","East Carolina University","NC",-77.366304214415,35.606393363404,81.8950881958008,0.326407432556152
"10","Prairie Ridge Ecostation","NC",-78.7139,35.8117,75.9220809936523,7.86073637008667
"11","Pritchard Park (Chapel Hill Public Library)","NC",-79.036950286991,35.930914233655,85.3860549926758,13.1651668548584
"12","Stage Nature Center","MI",-83.191449083429,42.616025477569,88.3040084838867,7.06353282928467
"13","Ijams Nature Center","TN",-83.866635560989,35.957561221232,33.554141998291,42.1844291687012
"14","Kalamazoo Nature Center","MI",-85.5836,42.3604,4.39378070831299,41.0837287902832
"15","Museum of American Bird Art","MA",-71.139992349488,42.163219926543,72.1121292114258,16.1703014373779
"16","Piedmont Wildlife Center","NC",-78.981910741099,35.917063489124,47.6647834777832,30.7069873809814
"17","Walker Nature Center","VA",-77.341531666344,38.925767408682,46.8918113708496,41.952075958252
"18","Mass Audubon's Broadmoor Wildlife Sanctuary","MA",-71.338917016983,42.256699363244,28.5482292175293,41.1249160766602
"19","Mass Audubon's Boston Nature Center","MA",-71.099689938102,42.286004028739,70.075439453125,18.6446399688721
"20","Currituck Banks Reserve","NC",-75.830780073317,36.38958959672,18.1830596923828,4.12883615493774
"22","The Children's Museum","CT",-72.737066745758,41.76199706042,99.1788177490234,0.021158317103982
"23","Wellesley College","MA",-71.305676469268,42.295625231048,68.4704742431641,19.5019779205322
"24","Cradle Heritage Site","NC",-82.77839483345,35.349746326531,3.9584596157074,93.7664031982422
"25","Linda Loring Nature Foundation","MA",-70.170192718506,41.291998909614,6.01119232177734,9.8353853225708
"26","Jordan Lake SRA","NC",-79.010815647513,35.730187663663,9.259033203125,56.4919891357422
"27","Acadia NP - Sundew","ME",-68.0657,44.3393,12.5080213546753,34.7517547607422
"28","BBS 88-921-12","VA",-78.3505,38.6157,2.48989462852478,97.5101089477539
"29","BBS 63-911-08","NC",-83.5848,35.2041,4.47372674942017,94.112174987793
"30","BBS 63-910-28","NC",-83.1746,35.0357,6.46495723724365,90.558464050293
"31","BBS 27-041-32","GA",-83.465,34.972,4.51699733734131,94.8772506713867
"32","BBS 27-041-11","GA",-83.4784,34.9052,4.49538898468018,94.3351821899414
"33","BBS 63-911-38","NC",-83.6398,35.1564,6.99854183197021,88.4437866210938
"34","BBS 63-910-06","NC",-83.2122,35.0275,5.74105930328369,92.6291351318359
"35","BBS 88-920-36","VA",-81.5224,36.7176,2.52582693099976,97.2375717163086
"36","BBS 82-042-40","TN",-82.0653,36.1736,8.11542797088623,83.8335342407227
"37","BBS 82-042-06","TN",-82.0659,36.288,2.13984632492065,97.8601531982422
"38","BBS 88-920-25","VA",-81.5506,36.6846,5.01562881469727,91.9751205444336
"39","BBS 63-031-05","NC",-81.8589,36.0494,12.279839515686,85.0275802612305
"40","BBS 63-031-17","NC",-81.8108,36.0909,9.74374580383301,88.6630325317383
"41","BBS 82-903-44","TN",-83.1914,35.623,0,100
"42","BBS 82-903-39","TN",-83.174,35.628,0,100
"43","BBS 63-906-44","NC",-82.9594,35.7753,8.4365177154541,91.5577850341797
"44","BBS 63-906-15","NC",-83.0743,35.7216,9.14109516143799,90.8589019775391
"45","BBS 88-902-36","VA",-79.6178,37.517,7.77531480789185,86.890007019043
"46","BBS 88-905-17","VA",-80.2033,37.5304,6.1038932800293,93.3748168945312
"47","BBS 88-900-09","VA",-79.2707,37.7387,5.34321880340576,93.3244171142578
"48","BBS 88-902-23","VA",-79.5683,37.5402,7.51582622528076,92.4841766357422
"49","BBS 88-923-05","VA",-78.1976,38.8946,14.0331993103027,83.5448837280273
"50","BBS 88-923-46","VA",-78.2981,38.7536,5.5486855506897,94.4513168334961
"51","BBS 88-907-45","VA",-78.6244,38.2907,4.84519910812378,95.1548004150391
"52","BBS 88-907-21","VA",-78.5134,38.3889,5.21935224533081,93.4777221679688
"53","BBS 88-922-42","VA",-78.775,38.1479,3.40046787261963,93.2865905761719
"54","BBS 88-921-30","VA",-78.389,38.5467,3.74997282028198,94.0181198120117
"55","BBS 88-922-17","VA",-78.6668,38.2563,7.33290719985962,92.3217544555664
"56","BBS 88-905-38","VA",-80.1508,37.5955,3.59096741676331,95.5344390869141
"57","BBS 88-900-29","VA",-79.2448,37.727,5.257164478302,92.7015609741211
"58","BBS 63-022-05","NC",-83.8522,35.4416,2.73773097991943,93.4016265869141
"59","BBS 82-902-43","TN",-84.0661,35.322,6.98683404922485,93.0131301879883
"60","BBS 63-906-27","NC",-83.0409,35.7373,7.36804342269897,91.7316513061523
"61","BBS 82-042-19","TN",-82.0275,36.2383,4.89494466781616,87.0354995727539
"62","BBS 63-909-09","NC",-81.8331,35.8795,5.21633052825928,94.2559509277344
"63","BBS 63-909-44","NC",-81.8046,35.919,6.71391439437866,92.597785949707
"64","Roxbury Park","SC",-80.3473,32.6824,4.64172554016113,28.4754543304443
"65","Environmental Sciences Magnet School","CT",-72.7024,41.7409,98.4531402587891,0.9664426445961
"66","Mataniuck State Park","CT",-72.6827,41.8136,57.9541358947754,35.0046043395996
"67","Wild Spirit Education","NY",-78.435118901427,42.499709404604,3.83405184745789,58.5651473999023
"70","Acadia NP - Alder","ME",-68.0528,44.3424,9.8490161895752,39.9692153930664
"71","Azalea Repository (TNCA)","NC",-82.604872412239,35.494777512753,12.34361743927,84.9923553466797
"72","Stream Garden (TNCA)","NC",-82.608557106741,35.49769849481,37.1547927856445,59.3674087524414
"73","Plants of Promise Garden (TNCA)","NC",-82.608926665321,35.496032261155,12.34361743927,84.9923553466797
"74","Red Top Mountain State Park","GA",-84.703345298767,34.153579319926,9.14507961273193,80.122802734375
"75","Columbus Botanical Garden","GA",-84.938069259433,32.533984721365,88.712776184082,8.55332374572754
"76","Zoo Knoxville","TN",-83.888841569424,35.997103468522,93.7765426635742,5.51941823959351
"77","Seven Islands State Birding Park","TN",-83.689454197884,35.947412755256,7.40324974060059,20.1035308837891
"78","Discovery Center at Murfree Spring","TN",-86.387142745541,35.83823893534,98.3318557739258,0.783116579055786
"79","Litzsinger Road Ecology Center Woodland Site B","MO",-90.370217536849,38.620014528971,100,0
"80","Coweeta - BS","NC",-83.458333,35.025,6.09571170806885,92.714225769043
"81","Coweeta - RK","NC",-83.291667,35.075,2.1623203754425,94.6244430541992
"82","Coweeta - BB","NC",-83.475,35.041667,4.09124279022217,95.202766418457
"83","Backyard","MO",-90.370020348763,38.620284726181,100,0
