"site","lat","lon"
"Acadia NP - Alder",44.3424,-68.0528
"Acadia NP - Sundew",44.3393,-68.0657
"BHRC - Hemlock Draw",43.359565312021,-89.941807312655
"BHRC Happy Hill",43.397527460736,-89.831000897954
"BHRC Pan Hollow Uplands",43.37562290301,-89.869713136436
"Beare Swamp in Rouge Park",43.825999432243,-79.154017733419
"Belle Isle State Park, Lancaster, VA",37.780129538579,-76.596441492825
"Brookbanks Park",43.755259966615,-79.329944638904
"Crossways Survey",40.174246114537,-75.267440828078
"EwA at Fresh Pond",42.387327000031,-71.145097454995
"EwA at Horn Pond",42.461360478055,-71.15774573479
"EwA at the Fells",42.455492,-71.123832
"EwA at the Growing Center",42.383419320081,-71.098000215491
"Highlands Biological Station",35.053885666174,-83.18924508538
"Ijams Nature Center",35.957561221232,-83.866635560989
"Middle Mill",43.69402883916,-79.356059205218
"Mt. Auburn Cemetery",42.37140748221,-71.14532216979
"NC Botanical Garden",35.8994,-79.0339
"Prairie Ridge Ecostation",35.8117,-78.7139
"RVCC",43.81900252918,-79.170878351185
"Riverbend Park",39.018431674248,-77.246021979731
"Seven Islands State Birding Park",35.947412755256,-83.689454197884
"Stage Nature Center",42.616025477569,-83.191449083429
"UNC Chapel Hill Campus",35.909876654033,-79.049644020807
"Walker Nature Center",38.925767408682,-77.341531666344
