"scientificName","nativeStatus","plantOrigin"
"Acacia quornensis",NA,NA
"Acacia ramulosa",NA,NA
"Acacia redolens","L48(I)","alien"
"Acacia rehmanniana",NA,NA
"Acacia retinodes","L48(I)","alien"
"Acacia retusa","PR(N)VI(N)",NA
"Acacia richii",NA,NA
"Acacia rigens",NA,NA
"Acacia rigidula","L48(N)","native"
"Acacia rivalis",NA,NA
"Acacia robusta",NA,NA
"Acacia roemeriana","L48(N)","native"
"Acacia rossei",NA,NA
"Acacia rubida",NA,NA
"Acacia rupicola",NA,NA
"Acacia saliciformis",NA,NA
"Acacia salicina",NA,NA
"Acacia saligna","L48(I)","alien"
"Acacia schaffneri",NA,NA
"Acacia schaffneri var. bravoensis","L48(N)","native"
"Acacia schaffneri var. schaffneri",NA,NA
"Acacia schottii","L48(N)","native"
"Acacia schweinfurthii",NA,NA
"Acacia sclerosperma",NA,NA
"Acacia scleroxyla",NA,NA
"Acacia senegal",NA,NA
"Acacia senegal var. rostrata",NA,NA
"Acacia seyal",NA,NA
"Acacia sieberiana",NA,NA
"Acacia sieberiana var. woodii",NA,NA
"Acacia silvestris",NA,NA
"Acacia sophorae",NA,NA
"Acacia spectabilis",NA,NA
"Acacia sphaerocephala","L48(I)","alien"
"Acacia stenophylla",NA,NA
"Acacia stowardii",NA,NA
"Acacia stricta",NA,NA
"Acacia suaveolens",NA,NA
"Acacia sublanata",NA,NA
"Acacia subulata",NA,NA
"Acacia swazica",NA,NA
"Acacia terminalis",NA,NA
"Acacia tetragonophylla",NA,NA
"Acacia tortilis",NA,NA
"Acacia tortilis ssp. heteracantha",NA,NA
"Acacia tortilis ssp. spirocarpa",NA,NA
"Acacia tortuosa","L48(N)PR(N)VI(N)","native"
"Acacia trineura",NA,NA
"Acacia ulicifolia",NA,NA
"Acacia uncinata",NA,NA
"Acacia undulifolia",NA,NA
"Acacia urophylla",NA,NA
"Acacia verniciflua",NA,NA
"Acacia verticillata","L48(I)","alien"
"Acacia victoriae",NA,NA
"Acacia viscidula",NA,NA
"Acacia visco",NA,NA
"Acacia vogeliana","PR(N)VI(N)",NA
"Acacia wattsiana",NA,NA
"Acacia willardiana",NA,NA
"Acacia xanthophloea",NA,NA
"Acaciella","L48(N)","native"
"Acaciella angustissima","L48(N)","native"
"Acaciella angustissima var. chisosiana","L48(N)","native"
"Acaciella angustissima var. hirta","L48(N)","native"
"Acaciella glauca",NA,NA
"Acaciella leucothrix","L48(N)","native"
"Acaciella shrevei","L48(N)","native"
"Acaciella suffrutescens","L48(N)","native"
"Acaena","L48(I,N)","native"
"Acaena exigua","HI(N)",NA
"Acaena myriophylla",NA,NA
"Acaena novae-zelandiae","L48(I)","alien"
"Acaena pallida","L48(I)","alien"
"Acaena pinnatifida","L48(N)","native"
"Acaena pinnatifida var. californica","L48(N)","native"
"Acalypha","L48(I,N)CAN(N)","native"
"Acalypha alopecuroidea","L48(I)PR(N)","alien"
"Acalypha amentacea","L48(I)","alien"
"Acalypha amentacea ssp. wilkesiana","L48(I)PR(I)","alien"
"Acalypha amentacea var. heterotricha","L48(N)","native"
"Acalypha amentacea var. palauensis","L48(N)","native"
"Acalypha arvensis","L48(I)","alien"
"Acalypha australis","L48(I)","alien"
"Acalypha berteriana","PR(N)",NA
"Acalypha bisetosa","PR(N)",NA
"Acalypha californica","L48(N)","native"
"Acalypha chamaedryfolia","L48(N)PR(N)VI(N)","native"
"Acalypha deamii","L48(N)","native"
"Acalypha gracilens","L48(N)","native"
"Acalypha hispida","L48(I)PR(I)","alien"
"Acalypha indica","L48(I)","alien"
"Acalypha lanceolata","L48(I)","alien"
"Acalypha mexicana","L48(N)","native"
"Acalypha monococca","L48(N)","native"
"Acalypha monostachya","L48(N)","native"
"Acalypha neomexicana","L48(N)","native"
"Acalypha ostryifolia","L48(N)PR(N)VI(N)","native"
"Acalypha phleoides","L48(N)","native"
"Acalypha poiretii","L48(N)PR(I)VI(I)","native"
"Acalypha portoricensis","PR(N)VI(N)",NA
"Acalypha radians","L48(N)","native"
"Acalypha rhomboidea","L48(N)CAN(N)","native"
"Acalypha setosa","L48(N)PR(N)","native"
"Acalypha virginica","L48(N)","native"
"Acalypha wilkesiana","L48(I)PR(I)","alien"
"Acamptopappus","L48(N)","native"
"Acamptopappus shockleyi","L48(N)","native"
"Acamptopappus sphaerocephalus","L48(N)","native"
"Acamptopappus sphaerocephalus var. hirtellus","L48(N)","native"
"Acamptopappus sphaerocephalus var. sphaerocephalus","L48(N)","native"
"Acanthocereus","L48(N)","native"
"Acanthocereus tetragonus","L48(N)HI(I)VI(N)","native"
"Acanthomintha","L48(N)","native"
"Acanthomintha duttonii","L48(N)","native"
"Acanthomintha ilicifolia","L48(N)","native"
"Acanthomintha lanceolata","L48(N)","native"
"Acanthomintha obovata","L48(N)","native"
"Acanthomintha obovata ssp. cordata","L48(N)","native"
"Acanthomintha obovata ssp. obovata","L48(N)","native"
"Acanthospermum","L48(I)CAN(I)","alien"
"Acanthospermum australe","L48(I)HI(I)","alien"
"Acanthospermum hispidum","L48(I)HI(I)PR(N)VI(N)CAN(I)","alien"
"Acanthospermum humile","L48(I)","alien"
"Acanthus","L48(I)","alien"
"Acanthus ebracteatus","L48(N)","native"
"Acanthus mollis","L48(I)","alien"
"Acanthus polystachyus",NA,NA
"Acanthus polystachyus var. pseudopubescens",NA,NA
"Acanthus spinosus",NA,NA
"Acanthus syriacus",NA,NA
"Acarospora","NA(N)","native"
"Acarospora aeruginosa","NA(N)","native"
"Acarospora albomarginata","NA(N)","native"
"Acarospora americana","NA(N)","native"
"Acarospora amphibola","NA(N)","native"
"Acarospora applanata","NA(N)","native"
"Acarospora arenacea","NA(N)","native"
"Acarospora arenosa","NA(N)","native"
"Acarospora asahinae","NA(N)","native"
"Acarospora asperata","NA(N)","native"
"Acarospora badiofusca","NA(N)","native"
"Acarospora bullata","NA(N)","native"
"Acarospora caesiofusca","NA(N)","native"
"Acarospora californica","NA(N)","native"
"Acarospora canadensis","NA(N)","native"
"Acarospora carnegiei","NA(N)","native"
"Acarospora cervina","NA(N)","native"
"Acarospora cinereoalba","NA(N)","native"
"Acarospora citrina","NA(N)","native"
"Acarospora clauzadeana","NA(N)","native"
"Acarospora coloradiana","NA(N)","native"
"Acarospora complanata","NA(N)","native"
"Acarospora desolata","NA(N)","native"
"Acarospora dispersa","NA(N)","native"
"Acarospora elevata","NA(N)","native"
"Acarospora fuscata","NA(N)","native"
"Acarospora fuscescens","NA(N)","native"
"Acarospora gallica","NA(N)","native"
"Acarospora geogena","NA(N)","native"
"Acarospora glaucocarpa","NA(N)","native"
"Acarospora hassei","NA(N)","native"
"Acarospora heppii","NA(N)","native"
"Acarospora heufleriana","NA(N)","native"
"Acarospora hilaris","NA(N)","native"
"Acarospora immersa","NA(N)","native"
"Acarospora impressula","NA(N)","native"
"Acarospora instrata","NA(N)","native"
"Acarospora interjecta","NA(N)","native"
"Acarospora interposita","NA(N)","native"
"Acarospora interspersa","NA(N)","native"
"Acarospora macrospora","NA(N)","native"
"Acarospora molybdina","NA(N)","native"
"Acarospora nevadensis","NA(N)","native"
"Acarospora nigromarginata","NA(N)","native"
"Acarospora nitida","NA(N)","native"
"Acarospora nodulosa","NA(N)","native"
"Acarospora nodulosa var. nodulosa","NA(N)","native"
"Acarospora obnubila","NA(N)","native"
"Acarospora obpallens","NA(N)","native"
"Acarospora oligospora","NA(N)","native"
"Acarospora particularis","NA(N)","native"
"Acarospora peliscypha","NA(N)","native"
"Acarospora peltastica","NA(N)","native"
"Acarospora pyrenopsoides","NA(N)","native"
"Acarospora radicata","NA(N)","native"
"Acarospora reagens","NA(N)","native"
"Acarospora rugulosa","NA(N)","native"
"Acarospora saepincola","NA(N)","native"
"Acarospora scabrida","NA(N)","native"
"Acarospora schleicheri","NA(N)","native"
"Acarospora scotica","NA(N)","native"
"Acarospora sinopica","NA(N)","native"
"Acarospora smaragdula","NA(N)","native"
"Acarospora socialis","NA(N)","native"
"Acarospora sparsa","NA(N)","native"
"Acarospora stapfiana","NA(N)","native"
"Acarospora strigata","NA(N)","native"
"Acarospora succedens","NA(N)","native"
"Acarospora superfusa","NA(N)","native"
"Acarospora tenebrica","NA(N)","native"
"Acarospora terricola","NA(N)","native"
"Acarospora thamnina","NA(N)","native"
"Acarospora thelococcoides","NA(N)","native"
"Acarospora thermophila","NA(N)","native"
"Acarospora tongleti","NA(N)","native"
"Acarospora tucsonensis","NA(N)","native"
"Acarospora utahensis","NA(N)","native"
"Acarospora veronensis","NA(N)","native"
"Acarospora washingtonensis","NA(N)","native"
"Acaulon","NA(N)","native"
"Acaulon muticum","NA(N)","native"
"Acaulon muticum var. muticum","NA(N)","native"
"Acaulon muticum var. rufescens","NA(N)","native"
"Acaulon schimperianum","NA(N)","native"
"Acaulon triquetrum","NA(N)","native"
"Acer","L48(I,N)CAN(I,N)SPM(N)","native"
"Acer X freemanii","L48(N)CAN(N)","native"
"Acer buergerianum",NA,"alien"
"Acer campestre","L48(I)CAN(I)","alien"
"Acer circinatum","L48(N)AK(N?)CAN(N)","native"
"Acer cissifolium",NA,NA
"Acer diabolicum",NA,"alien"
"Acer floridanum","L48(N)","native"
"Acer ginnala","L48(I)CAN(I)","alien"
"Acer glabrum","L48(N)AK(I?)CAN(N)","native"
"Acer glabrum var. diffusum","L48(N)","native"
"Acer glabrum var. douglasii","L48(N)AK(I?)CAN(N)","native"
"Acer glabrum var. glabrum","L48(N)","native"
"Acer glabrum var. greenei","L48(N)","native"
"Acer glabrum var. neomexicanum","L48(N)","native"
"Acer glabrum var. torreyi","L48(N)","native"
"Acer grandidentatum","L48(N)","native"
"Acer grandidentatum var. grandidentatum","L48(N)","native"
"Acer grandidentatum var. sinuosum","L48(N)","native"
"Acer griseum",NA,NA
"Acer japonicum","CAN(I)NA(I)","alien"
"Acer leucoderme","L48(N)","native"
"Acer leucoderme X saccharum",NA,NA
"Acer macrophyllum","L48(N)CAN(N)","native"
"Acer negundo","L48(N)CAN(N)","native"
"Acer negundo var. arizonicum","L48(N)","native"
"Acer negundo var. californicum","L48(N)","native"
"Acer negundo var. interius","L48(N)","native"
"Acer negundo var. negundo","L48(N)CAN(N)","native"
"Acer negundo var. texanum","L48(N)","native"
"Acer negundo var. violaceum","L48(N)","native"
"Acer nigrum","L48(N)CAN(N)","native"
"Acer opalus",NA,NA
"Acer opalus ssp. obtusatum",NA,NA
"Acer palmatum","L48(I)CAN(I)","alien"
"Acer pensylvanicum","L48(N)CAN(N)","native"
"Acer platanoides","L48(I)CAN(I)","alien"
"Acer pseudoplatanus","L48(I)CAN(I)","alien"
"Acer rubrum","L48(N)CAN(N)","native"
"Acer rubrum var. drummondii","L48(N)","native"
"Acer rubrum var. rubrum","L48(N)CAN(N)","native"
"Acer rubrum var. trilobum","L48(N)CAN(N)","native"
"Acer saccharinum","L48(N)CAN(N)","native"
"Acer saccharum","L48(N)CAN(N)","native"
"Acer saccharum var. saccharum","L48(N)CAN(N)","native"
"Acer saccharum var. schneckii","L48(N)","native"
"Acer spicatum","L48(N)CAN(N)SPM(N)","native"
"Acer tataricum","L48(I)","alien"
"Acer tataricum var. torminaloides",NA,NA
"Achillea","L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)","native"
"Achillea aegyptiaca",NA,NA
"Achillea ageratifolia",NA,NA
"Achillea ageratum","L48(I)","alien"
"Achillea alpina","CAN(N)NA(N)","native"
"Achillea biserrata",NA,NA
"Achillea cartilaginea",NA,NA
"Achillea chrysocoma",NA,NA
"Achillea clavennae",NA,NA
"Achillea clusiana",NA,NA
"Achillea clypeolata",NA,NA
"Achillea collina",NA,NA
"Achillea conferta",NA,NA
"Achillea crithmifolia",NA,NA
"Achillea distans","L48(I)CAN(I)","alien"
"Achillea distans ssp. tanacetifolia",NA,NA
"Achillea erba-rotta",NA,NA
"Achillea erba-rotta ssp. rupestris",NA,NA
"Achillea filipendulina","L48(I)CAN(I)","alien"
"Achillea grandifolia",NA,NA
"Achillea impatiens",NA,NA
"Achillea ligustica","L48(I)","alien"
"Achillea lingulata",NA,NA
"Achillea macrocephala",NA,NA
"Achillea macrophylla",NA,NA
"Achillea millefolium","L48(I,N)AK(N)HI(I)CAN(NI)GL(N)SPM(NI)","native"
"Achillea millefolium var. alpicola","L48(N)AK(N)","native"
"Achillea millefolium var. arenicola","L48(N)","native"
"Achillea millefolium var. borealis","L48(N)AK(N)CAN(N)GL(N)SPM(N)","native"
"Achillea millefolium var. californica","L48(N)","native"
"Achillea millefolium var. gigantea","L48(N)","native"
"Achillea millefolium var. litoralis","L48(N)","native"
"Achillea millefolium var. megacephala","CAN(N)NA(N)","native"
"Achillea millefolium var. millefolium","L48(I)HI(I)CAN(I)SPM(I)","alien"
"Achillea millefolium var. nigrescens","L48(N)AK(N)CAN(N)GL(N)SPM(N)","native"
"Achillea millefolium var. occidentalis","L48(N)AK(N)CAN(N)GL(N)SPM(N)","native"
"Achillea millefolium var. pacifica","L48(N)AK(N)","native"
"Achillea millefolium var. puberula","L48(N)","native"
"Achillea nobilis","L48(I)","alien"
"Achillea odorata",NA,NA
"Achillea pannonica","CAN(I)NA(I)","alien"
"Achillea ptarmica","L48(I)AK(I)CAN(I)GL(I)SPM(I)","alien"
"Achillea pyrenaica",NA,NA
"Achillea setacea",NA,NA
"Achillea sibirica","L48(N)AK(N)","native"
"Achillea umbellata",NA,NA
"Achlys","L48(N)CAN(N)","native"
"Achlys californica","L48(N)CAN(N)","native"
"Achlys triphylla","L48(N)CAN(N)","native"
"Achnatherum","L48(I,N)CAN(N)","native"
"Achnatherum X bloomeri","L48(N)","native"
"Achnatherum aridum","L48(N)","native"
"Achnatherum brachychaetum","L48(I)","alien"
"Achnatherum bromoides",NA,NA
"Achnatherum calamagrostis",NA,NA
"Achnatherum capense","L48(I)","alien"
"Achnatherum caragana",NA,NA
"Achnatherum caudatum","L48(I)","alien"
"Achnatherum clandestinum","L48(I)","alien"
"Achnatherum contractum","L48(N)","native"
"Achnatherum coronatum","L48(N)","native"
"Achnatherum curvifolium","L48(N)","native"
"Achnatherum diegoense","L48(N)","native"
"Achnatherum eminens","L48(N)","native"
"Achnatherum hendersonii","L48(N)","native"
"Achnatherum hymenoides","L48(N)CAN(N)","native"
"Achnatherum latiglume","L48(N)","native"
"Achnatherum lemmonii","L48(N)CAN(N)","native"
"Achnatherum lemmonii var. lemmonii","L48(N)CAN(N)","native"
"Achnatherum lemmonii var. pubescens","L48(N)","native"
"Achnatherum lettermanii","L48(N)","native"
"Achnatherum lobatum","L48(N)","native"
"Achnatherum nelsonii","L48(N)CAN(N)","native"
"Achnatherum nelsonii ssp. dorei","L48(N)CAN(N)","native"
"Achnatherum nelsonii ssp. nelsonii","L48(N)CAN(N)","native"
"Achnatherum nevadense","L48(N)","native"
"Achnatherum occidentale","L48(N)CAN(N)","native"
"Achnatherum occidentale ssp. californicum","L48(N)CAN(N)","native"
"Achnatherum occidentale ssp. occidentale","L48(N)","native"
"Achnatherum occidentale ssp. pubescens","L48(N)CAN(N)","native"
"Achnatherum parishii","L48(N)","native"
"Achnatherum parishii var. depauperatum","L48(N)","native"
"Achnatherum parishii var. parishii","L48(N)","native"
"Achnatherum pekinense",NA,NA
"Achnatherum perplexum","L48(N)","native"
"Achnatherum pinetorum","L48(N)","native"
"Achnatherum richardsonii","L48(N)AK(I)CAN(N)","native"
"Achnatherum robustum","L48(N)","native"
"Achnatherum scribneri","L48(N)","native"
"Achnatherum speciosum","L48(N)","native"
"Achnatherum splendens",NA,NA
"Achnatherum stillmanii","L48(N)","native"
"Achnatherum swallenii","L48(N)","native"
"Achnatherum thurberianum","L48(N)","native"
"Achnatherum wallowaense","L48(N)","native"
"Achnatherum webberi","L48(N)","native"
"XAchnella","L48(I)CAN(N)","alien"
"XAchnella caduca","L48(I)CAN(N)","alien"
"Achyrachaena","L48(N)","native"
"Achyrachaena mollis","L48(N)","native"
"Achyranthes","L48(I)","alien"
"Achyranthes aspera","L48(I)HI(I)PR(I)VI(I)","alien"
"Achyranthes aspera var. aspera","L48(I)HI(I)PR(I)VI(I)","alien"
"Achyranthes aspera var. pubescens","L48(I)HI(I)PR(I)","alien"
"Achyranthes bidentata","L48(I)","alien"
"Achyranthes canescens",NA,NA
"Achyranthes japonica","L48(I)","alien"
"Achyranthes japonica var. hachijoensis","L48(I)","alien"
"Achyranthes mutica","HI(N)",NA
"Achyranthes splendens","HI(N)",NA
"Achyranthes splendens var. atollensis","L48(N)HI(N)","native"
"Achyranthes splendens var. rotundata","HI(N)",NA
"Achyranthes splendens var. splendens","HI(N)",NA
"Achyronychia","L48(N)","native"
"Achyronychia cooperi","L48(N)","native"
"Acicarpha","L48(I)","alien"
"Acicarpha tribuloides","L48(I)","alien"
"Acidanthera",NA,NA
"Acinos","L48(I)CAN(I)","alien"
"Acinos arvensis","L48(I)CAN(I)","alien"
"Aciphylla",NA,NA
"Aciphylla ferox",NA,NA
"Acisanthera",NA,NA
"Acisanthera quadrata","PR(N)",NA
"Acleisanthes","L48(N)","native"
"Acleisanthes acutifolia","L48(N)","native"
"Acleisanthes anisophylla","L48(N)","native"
"Acleisanthes crassifolia","L48(N)","native"
"Acleisanthes longiflora","L48(N)","native"
"Acleisanthes obtusa","L48(N)","native"
"Acleisanthes wrightii","L48(N)","native"
"Acmella","L48(I,N)","native"
"Acmella decumbens","L48(I)","alien"
"Acmella grandiflora","L48(I)","alien"
