"scientificName","nativeStatus","plantOrigin"
"Abelia","L48(I)","alien"
"Abelia X grandiflora","L48(I)","alien"
"Abelmoschus","L48(I)","alien"
"Abelmoschus esculentus","L48(I)PR(I)VI(I)","alien"
"Abelmoschus manihot","L48(I)","alien"
"Abelmoschus moschatus","L48(I)HI(I)PR(I)","alien"
"Abies","L48(I,N)CAN(N)SPM(N)","native"
"Abies alba","L48(I)","alien"
"Abies amabilis","L48(N)AK(N)CAN(N)","native"
"Abies balsamea","L48(N)CAN(N)SPM(N)","native"
"Abies balsamea var. balsamea","L48(N)CAN(N)SPM(N)","native"
"Abies balsamea var. phanerolepis","L48(N)CAN(N)","native"
"Abies bracteata","L48(N)","native"
"Abies concolor","L48(N)","native"
"Abies firma","L48(I)","alien"
"Abies fraseri","L48(N)","native"
"Abies grandis","L48(N)CAN(N)","native"
"Abies guatemalensis",NA,NA
"Abies homolepis","L48(I)","alien"
"Abies lasiocarpa","L48(N)AK(N)CAN(N)","native"
"Abies lasiocarpa var. arizonica","L48(N)","native"
"Abies lasiocarpa var. lasiocarpa","L48(N)AK(N)CAN(N)","native"
"Abies lowiana","L48(N)","native"
"Abies magnifica","L48(N)","native"
"Abies magnifica var. magnifica","L48(N)","native"
"Abies magnifica var. shastensis","L48(N)","native"
"Abies procera","L48(N)","native"
"Abies veitchii",NA,NA
"Abietinella","NA(N)","native"
"Abietinella abietina","NA(N)","native"
"Abildgaardia","L48(N)","native"
"Abildgaardia ovata","L48(N)PR(N)VI(N)","native"
"Abroma",NA,NA
"Abroma augustum","L48(N)","native"
"Abronia","L48(N)CAN(N)","native"
"Abronia alpina","L48(N)","native"
"Abronia ameliae","L48(N)","native"
"Abronia ammophila","L48(N)","native"
"Abronia angustifolia","L48(N)","native"
"Abronia argillosa","L48(N)","native"
"Abronia bigelovii","L48(N)","native"
"Abronia bolackii","L48(N)","native"
"Abronia carletonii","L48(N)","native"
"Abronia elliptica","L48(N)","native"
"Abronia fragrans","L48(N)","native"
"Abronia gracilis","L48(N)","native"
"Abronia insularis","L48(N)","native"
"Abronia latifolia","L48(N)CAN(N)","native"
"Abronia macrocarpa","L48(N)","native"
"Abronia maritima","L48(N)","native"
"Abronia mellifera","L48(N)","native"
"Abronia minor","L48(N)","native"
"Abronia nana","L48(N)","native"
"Abronia nana var. covillei","L48(N)","native"
"Abronia nana var. harrisii","L48(N)","native"
"Abronia nana var. nana","L48(N)","native"
"Abronia neurophylla","L48(N)","native"
"Abronia pogonantha","L48(N)","native"
"Abronia turbinata","L48(N)","native"
"Abronia umbellata","L48(N)CAN(N)","native"
"Abronia umbellata ssp. breviflora","L48(N)CAN(N)","native"
"Abronia umbellata ssp. umbellata","L48(N)","native"
"Abronia villosa","L48(N)","native"
"Abronia villosa var. aurita","L48(N)","native"
"Abronia villosa var. villosa","L48(N)","native"
"Abrothallus","NA(N)","native"
"Abrothallus bertianus","NA(N)","native"
"Abrothallus bryoriarum","NA(N)","native"
"Abrothallus cetrariae","NA(N)","native"
"Abrothallus cladoniae","NA(N)","native"
"Abrothallus parmeliarum","NA(N)","native"
"Abrothallus peyritschii","NA(N)","native"
"Abrothallus prodiens","NA(N)","native"
"Abrothallus welwitschii","NA(N)","native"
"Abrus","L48(I)","alien"
"Abrus precatorius","L48(I)HI(I)PR(I)VI(I)","alien"
"Absconditella","NA(N)","native"
"Absconditella sphagnorum","NA(N)","native"
"Absconditella trivialis","NA(N)","native"
"Abutilon","L48(I,N)CAN(I)","native"
"Abutilon abutiloides","L48(N)PR(N)VI(I)","native"
"Abutilon auritum","HI(I)",NA
"Abutilon berlandieri","L48(N)","native"
"Abutilon eremitopetalum","HI(N)",NA
"Abutilon fruticosum","L48(N)","native"
"Abutilon glabriflorum",NA,NA
"Abutilon grandifolium","L48(I)HI(I)","alien"
"Abutilon hirtum","L48(I)PR(I)VI(I)","alien"
"Abutilon hulseanum","L48(N)PR(N)","native"
"Abutilon hypoleucum","L48(N)","native"
"Abutilon incanum","L48(N)HI(N)","native"
"Abutilon indicum","L48(I)HI(I)PR(N)VI(N)","alien"
"Abutilon indicum ssp. albescens","L48(N)","native"
"Abutilon malacum","L48(N)","native"
"Abutilon mauritianum",NA,NA
"Abutilon megapotamicum",NA,NA
"Abutilon menziesii","HI(N)",NA
"Abutilon mollicomum","L48(N)","native"
"Abutilon palmeri","L48(N)","native"
"Abutilon parishii","L48(N)","native"
"Abutilon parvulum","L48(N)","native"
"Abutilon permolle","L48(N)PR(N)","native"
"Abutilon reventum","L48(N)","native"
"Abutilon sandwicense","HI(N)",NA
"Abutilon theophrasti","L48(I)CAN(I)","alien"
"Abutilon thurberi","L48(N)","native"
"Abutilon trisulcatum","L48(N)","native"
"Abutilon wrightii","L48(N)","native"
"Acacia","L48(I)","alien"
"Acacia X emoryana","L48(N)","native"
"Acacia abyssinica",NA,NA
"Acacia abyssinica ssp. calophylla",NA,NA
"Acacia acinacea",NA,NA
"Acacia aciphylla",NA,NA
"Acacia aculeatissima",NA,NA
"Acacia acuminata",NA,NA
"Acacia adunca",NA,NA
"Acacia alata",NA,NA
"Acacia ampliceps",NA,NA
"Acacia anegadensis",NA,NA
"Acacia aneura","HI(I)",NA
"Acacia angustissima","L48(N)","native"
"Acacia angustissima var. chisosiana","L48(N)","native"
"Acacia angustissima var. hirta","L48(N)","native"
"Acacia angustissima var. leucothrix","L48(N)","native"
"Acacia angustissima var. shrevei","L48(N)","native"
"Acacia angustissima var. suffrutescens","L48(N)","native"
"Acacia arenaria",NA,NA
"Acacia auriculiformis","L48(I)","alien"
"Acacia baileyana","L48(I)","alien"
"Acacia beckleri",NA,NA
"Acacia berlandieri","L48(N)","native"
"Acacia binervata",NA,NA
"Acacia boomanii",NA,NA
"Acacia brachybotrya",NA,NA
"Acacia buxifolia",NA,NA
"Acacia caesiella",NA,NA
"Acacia calamifolia",NA,NA
"Acacia cambagei",NA,NA
"Acacia cardiophylla",NA,NA
"Acacia catechu",NA,NA
"Acacia caven",NA,NA
"Acacia chinchillensis",NA,NA
"Acacia choriophylla","L48(N)","native"
"Acacia cibaria",NA,NA
"Acacia cognata",NA,NA
"Acacia colletioides",NA,NA
"Acacia collinsii",NA,NA
"Acacia confusa","L48(I)HI(I)","alien"
"Acacia conspersa",NA,NA
"Acacia constricta","L48(N)","native"
"Acacia constricta var. constricta","L48(N)","native"
"Acacia constricta var. paucispina","L48(N)","native"
"Acacia continua",NA,NA
"Acacia cornigera","L48(I)","alien"
"Acacia craspedocarpa",NA,NA
"Acacia cultriformis",NA,NA
"Acacia cupularis",NA,NA
"Acacia cyclops","L48(I)","alien"
"Acacia davyi",NA,NA
"Acacia dealbata","L48(I)","alien"
"Acacia deanei",NA,NA
"Acacia deanei ssp. paucijuga",NA,NA
"Acacia decora",NA,NA
"Acacia decurrens","L48(I)","alien"
"Acacia dietrichiana",NA,NA
"Acacia difformis",NA,NA
"Acacia doratoxylon",NA,NA
"Acacia drummondii",NA,NA
"Acacia dunnii",NA,NA
"Acacia eburnea",NA,NA
"Acacia elata","L48(I)","alien"
"Acacia erioloba",NA,NA
"Acacia erubescens",NA,NA
"Acacia estrophiolata",NA,NA
"Acacia extensa",NA,NA
"Acacia farnesiana","L48(N)HI(I)PR(N)VI(N)","native"
"Acacia fimbriata",NA,NA
"Acacia floribunda",NA,NA
"Acacia galpinii",NA,NA
"Acacia genistifolia",NA,NA
"Acacia gerrardii",NA,NA
"Acacia gladiiformis",NA,NA
"Acacia glandulicarpa",NA,NA
"Acacia glauca",NA,NA
"Acacia goetzei",NA,NA
"Acacia gracilifolia",NA,NA
"Acacia greggii","L48(N)","native"
"Acacia greggii var. greggii","L48(N)","native"
"Acacia greggii var. wrightii","L48(N)","native"
"Acacia hakeoides",NA,NA
"Acacia hebeclada",NA,NA
"Acacia hemiteles",NA,NA
"Acacia holosericea",NA,NA
"Acacia horrida",NA,NA
"Acacia howittii",NA,NA
"Acacia imbricata",NA,NA
"Acacia implexa",NA,NA
"Acacia irrorata",NA,NA
"Acacia iteaphylla",NA,NA
"Acacia ixiophylla",NA,NA
"Acacia jibberdingensis",NA,NA
"Acacia jonesii",NA,NA
"Acacia karroo",NA,NA
"Acacia koa","HI(N)",NA
"Acacia koaia","HI(N)",NA
"Acacia lanuginophylla",NA,NA
"Acacia lasiocalyx",NA,NA
"Acacia leiophylla",NA,NA
"Acacia ligulata",NA,NA
"Acacia lineata",NA,NA
"Acacia longifolia","L48(I)","alien"
"Acacia longifolia ssp. sophorae",NA,NA
"Acacia longissima",NA,NA
"Acacia macracantha","L48(N)PR(N)VI(N)","native"
"Acacia maidenii",NA,NA
"Acacia mangium",NA,NA
"Acacia mearnsii","L48(I)HI(I)","alien"
"Acacia melanoxylon","L48(I)HI(I)","alien"
"Acacia mellifera",NA,NA
"Acacia mellifera ssp. detinens",NA,NA
"Acacia merrallii",NA,NA
"Acacia microbotrya",NA,NA
"Acacia microcarpa",NA,NA
"Acacia millefolia","L48(N)","native"
"Acacia montana",NA,NA
"Acacia mucronata",NA,NA
"Acacia multispicata",NA,NA
"Acacia muricata","PR(N)VI(N)",NA
"Acacia myrtifolia",NA,NA
"Acacia neovernicosa","L48(N)","native"
"Acacia neriifolia",NA,NA
"Acacia nigrescens",NA,NA
"Acacia nilotica","PR(I)VI(I)",NA
"Acacia nilotica ssp. adstringens",NA,NA
"Acacia nilotica ssp. kraussiana",NA,NA
"Acacia notabilis",NA,NA
"Acacia omalophylla",NA,NA
"Acacia oswaldii",NA,NA
"Acacia oxycedrus",NA,NA
"Acacia pachyceras",NA,NA
"Acacia pachyceras var. najdensis",NA,NA
"Acacia papyrocarpa",NA,NA
"Acacia paradoxa","L48(I)","alien"
"Acacia parramattensis","HI(I)",NA
"Acacia parvipinnula",NA,NA
"Acacia pendula",NA,NA
"Acacia pennatula",NA,NA
"Acacia penninervis",NA,NA
"Acacia pentagona",NA,NA
"Acacia pinetorum","L48(N)","native"
"Acacia podalyriifolia","L48(I)","alien"
"Acacia polyacantha","PR(I)VI(I)",NA
"Acacia polyacantha ssp. campylacantha",NA,NA
"Acacia pravissima",NA,NA
"Acacia prominens",NA,NA
"Acacia pruinosa",NA,NA
"Acacia pulchella",NA,NA
"Acacia pycnantha","L48(I)","alien"
"Acacia pyrifolia",NA,NA
