"","Name","Region","Longitude","Latitude","ID","urban_percent","source"
"1","Great Smoky Mountains Institute at Tremont","TN",-83.688772827533,35.639979235465,1,0.401491253226269,"NLCD"
"2","CawCaw Interpretive Center","SC",-80.193097095849,32.782252065427,2,4.49727871670009,"NLCD"
"3","NC State University","NC",-78.67546810402,35.781071715192,3,87.0497427101201,"NLCD"
"4","UNC Chapel Hill Campus","NC",-79.049644020807,35.909876654033,4,70.5764267278463,"NLCD"
"5","Hemlock Bluffs","NC",-78.779309191044,35.724098087769,5,41.3970798740338,"NLCD"
"6","Georgetown","DC",-77.07900566587,38.909602349623,6,58.6078487539387,"NLCD"
"7","NC Botanical Garden","NC",-79.0339,35.8994,7,27.0246984491671,"NLCD"
"8","Mt. Auburn Cemetery","MA",-71.14532216979,42.37140748221,8,66.5615141955836,"NLCD"
"9","East Carolina University","NC",-77.366304214415,35.606393363404,9,89.4616265750286,"NLCD"
"10","Prairie Ridge Ecostation","NC",-78.7139,35.8117,10,52.7434645216892,"NLCD"
"11","Pritchard Park (Chapel Hill Public Library)","NC",-79.036950286991,35.930914233655,11,40.9586681974742,"NLCD"
"12","Stage Nature Center","MI",-83.191449083429,42.616025477569,12,57.1674311926605,"NLCD"
"13","Ijams Nature Center","TN",-83.866635560989,35.957561221232,13,18.9971346704871,"NLCD"
"14","Kalamazoo Nature Center","MI",-85.5836,42.3604,14,1.48911798396334,"NLCD"
"15","Museum of American Bird Art","MA",-71.139992349488,42.163219926543,15,49.512893982808,"NLCD"
"16","Piedmont Wildlife Center","NC",-78.981910741099,35.917063489124,16,33.2187857961054,"NLCD"
"17","Walker Nature Center","VA",-77.341531666344,38.925767408682,17,22.7808101120368,"NLCD"
"18","Mass Audubon's Broadmoor Wildlife Sanctuary","MA",-71.338917016983,42.256699363244,18,12.8006872852234,"NLCD"
"19","Mass Audubon's Boston Nature Center","MA",-71.099689938102,42.286004028739,19,63.3637921187893,"NLCD"
"20","Currituck Banks Reserve","NC",-75.830780073317,36.38958959672,20,19.4038406420178,"NLCD"
"21","Sault College","ON",-84.30692999308,46.534499045766,21,62.1520803443329,"Canada"
"22","The Children's Museum","CT",-72.737066745758,41.76199706042,22,85.3042479908152,"NLCD"
"23","Wellesley College","MA",-71.305676469268,42.295625231048,23,41.7576105686387,"NLCD"
"24","Cradle Heritage Site","NC",-82.77839483345,35.349746326531,24,0.887743413516609,"NLCD"
"25","Jordan Lake SRA","NC",-79.010815647513,35.730187663663,26,8.8041296243189,"NLCD"
"26","Acadia NP - Sundew","ME",-68.0657,44.3393,27,5.11053689348263,"NLCD"
"27","BBS 88-921-12","VA",-78.3505,38.6157,28,0,"NLCD"
"28","BBS 63-911-08","NC",-83.5848,35.2041,29,0.0572737686139748,"NLCD"
"29","BBS 63-910-28","NC",-83.1746,35.0357,30,0,"NLCD"
"30","BBS 27-041-32","GA",-83.465,34.972,31,0,"NLCD"
"31","BBS 27-041-11","GA",-83.4784,34.9052,32,0.257879656160458,"NLCD"
"32","BBS 63-911-38","NC",-83.6398,35.1564,33,0,"NLCD"
"33","BBS 63-910-06","NC",-83.2122,35.0275,34,0.143389733295096,"NLCD"
"34","BBS 88-920-36","VA",-81.5224,36.7176,35,0,"NLCD"
"35","BBS 82-042-40","TN",-82.0653,36.1736,36,1,"NLCD"
"36","BBS 82-042-06","TN",-82.0659,36.288,37,0,"NLCD"
"37","BBS 88-920-25","VA",-81.5506,36.6846,38,0,"NLCD"
"38","BBS 63-031-05","NC",-81.8589,36.0494,39,0,"NLCD"
"39","BBS 63-031-17","NC",-81.8108,36.0909,40,0.315095961042681,"NLCD"
"40","BBS 82-903-44","TN",-83.1914,35.623,41,0,"NLCD"
"41","BBS 82-903-39","TN",-83.174,35.628,42,0,"NLCD"
"42","BBS 63-906-44","NC",-82.9594,35.7753,43,0,"NLCD"
"43","BBS 63-906-15","NC",-83.0743,35.7216,44,0,"NLCD"
"44","BBS 88-902-36","VA",-79.6178,37.517,45,0.515907136715391,"NLCD"
"45","BBS 88-905-17","VA",-80.2033,37.5304,46,0.11454753722795,"NLCD"
"46","BBS 88-900-09","VA",-79.2707,37.7387,47,0.344530577088717,"NLCD"
"47","BBS 88-902-23","VA",-79.5683,37.5402,48,0,"NLCD"
"48","BBS 88-923-05","VA",-78.1976,38.8946,49,2.03263670197538,"NLCD"
"49","BBS 88-923-46","VA",-78.2981,38.7536,50,0.515611572615296,"NLCD"
"50","BBS 88-907-45","VA",-78.6244,38.2907,51,0.0572409845449342,"NLCD"
"51","BBS 88-907-21","VA",-78.5134,38.3889,52,0,"NLCD"
"52","BBS 88-922-42","VA",-78.775,38.1479,53,0.114711786636077,"NLCD"
"53","BBS 88-921-30","VA",-78.389,38.5467,54,0.143020594965675,"NLCD"
"54","BBS 88-922-17","VA",-78.6668,38.2563,55,0.574052812858783,"NLCD"
"55","BBS 88-905-38","VA",-80.1508,37.5955,56,0,"NLCD"
"56","BBS 88-900-29","VA",-79.2448,37.727,57,0.257584430452204,"NLCD"
"57","BBS 63-022-05","NC",-83.8522,35.4416,58,0.142938822184105,"NLCD"
"58","BBS 82-902-43","TN",-84.0661,35.322,59,0,"NLCD"
"59","BBS 63-906-27","NC",-83.0409,35.7373,60,2.06362854686156,"NLCD"
"60","BBS 82-042-19","TN",-82.0275,36.2383,61,0,"NLCD"
"61","BBS 63-909-09","NC",-81.8331,35.8795,62,0.0572901747350329,"NLCD"
"62","BBS 63-909-44","NC",-81.8046,35.919,63,1.06291295604711,"NLCD"
"63","Roxbury Park","SC",-80.3473,32.6824,64,1.40360928100831,"NLCD"
"64","Environmental Sciences Magnet School","CT",-72.7024,41.7409,65,87.263339070568,"NLCD"
"65","Mataniuck State Park","CT",-72.6827,41.8136,66,22.9005445686443,"NLCD"
